ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,month,month_name,day,hour
14001033,JJ454905,2025-10-16 16:00:00,025XX N LAKEVIEW AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,1935,19,43.0,7.0,11,1173122.0,1917532.0,2025,10/24/2025 03:42:34 PM,41.929137412,-87.639244007,"(41.929137412, -87.639244007)",10,October,Thursday,16
13999854,JJ454035,2025-10-16 15:48:00,029XX W WARREN BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,ALLEY,False,True,1222,12,27.0,27.0,08A,1156692.0,1900211.0,2025,11/02/2025 03:41:09 PM,41.881956205,-87.700089065,"(41.881956205, -87.700089065)",10,October,Thursday,15
13999727,JJ454114,2025-10-16 14:58:00,029XX W 65TH ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,823,8,15.0,66.0,26,1157942.0,1861397.0,2025,10/24/2025 03:42:34 PM,41.775420515,-87.696555492,"(41.775420515, -87.696555492)",10,October,Thursday,14
14003271,JJ458235,2025-10-16 14:30:00,016XX W 101ST PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,2213,22,19.0,72.0,08A,1167169.0,1837253.0,2025,11/02/2025 03:41:09 PM,41.708973444,-87.66341929,"(41.708973444, -87.66341929)",10,October,Thursday,14
14000639,JJ455089,2025-10-16 14:30:00,081XX S OGLESBY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,414,4,7.0,46.0,08A,1193266.0,1851521.0,2025,11/02/2025 03:41:09 PM,41.74752929,-87.567385616,"(41.74752929, -87.567385616)",10,October,Thursday,14
14003952,JJ459111,2025-10-16 13:45:00,013XX W BELMONT AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,COMMERCIAL / BUSINESS OFFICE,False,False,1924,19,44.0,6.0,11,1167084.0,1921369.0,2025,11/02/2025 03:41:09 PM,41.939798317,-87.66132115,"(41.939798317, -87.66132115)",10,October,Thursday,13
13999980,JJ454387,2025-10-16 13:40:00,002XX E HURON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOSPITAL BUILDING / GROUNDS,False,False,1834,18,2.0,8.0,11,1178066.0,1905133.0,2025,11/02/2025 03:41:09 PM,41.895002822,-87.621454706,"(41.895002822, -87.621454706)",10,October,Thursday,13
13999490,JJ453783,2025-10-16 12:30:00,0000X E 31ST ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,133,1,3.0,35.0,26,1177090.0,1884466.0,2025,10/24/2025 03:42:34 PM,41.838313451,-87.625664967,"(41.838313451, -87.625664967)",10,October,Thursday,12
14000354,JJ453819,2025-10-16 12:15:00,002XX W 63RD ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GAS STATION,False,False,722,7,20.0,68.0,11,1175510.0,1863188.0,2025,11/02/2025 03:41:09 PM,41.779960201,-87.632099778,"(41.779960201, -87.632099778)",10,October,Thursday,12
14001475,JJ456137,2025-10-16 12:00:00,003XX N CANAL ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,False,False,1214,12,34.0,28.0,11,1173057.0,1902303.0,2025,11/02/2025 03:41:09 PM,41.887349706,-87.639935244,"(41.887349706, -87.639935244)",10,October,Thursday,12
